municipality;geocode;Disease_Burden
Porto de Moz;1505908;7057
Porto dos Gaúchos;5106802;264
Poxoréo;5107008;327
Poção de Pedras;2108900;489
Pracuúba;1600550;830
Praia Norte;1718303;100
Prainha;1506005;15564
Presidente Dutra;2109106;639
Presidente Figueiredo;1303536;68975
Presidente Juscelino;2109205;450
Presidente Kennedy;1718402;67
Presidente Médici;1100254;5503
Presidente Médici;2109239;630
Presidente Sarney;2109270;3105
Presidente Vargas;2109304;840
Primavera;1506104;492
Primavera de Rondônia;1101476;156
Primavera do Leste;5107040;2097
Pugmil;1718451;75
Quatipuru;1506112;861
Querência;5107065;305
Raposa;2109452;817
Recursolândia;1718501;91
Redenção;1506138;4152
Reserva do Cabaçal;5107156;74
Riachinho;1718550;223
Riachão;2109502;258
Ribamar Fiquene;2109551;60
Ribeirão Cascalheira;5107180;347
Ribeirãozinho;5107198;144
Rio Branco;1200401;34786
Rio Branco;5107206;634
Rio Crespo;1100262;6903
Rio Maria;1506161;945
Rio Preto da Eva;1303569;57188
Rio Sono;1718758;49
Rio da Conceição;1718659;16
Rio dos Bois;1718709;94
Rodrigues Alves;1200427;97309
Rolim de Moura;1100288;3428
Rondolândia;5107578;638
Rondon do Pará;1506187;2967
Rondonópolis;5107602;1413
Rorainópolis;1400472;36889
Rosário;2109601;683
Rosário Oeste;5107701;495
Rurópolis;1506195;1728
Salinópolis;1506203;2327
Salto do Céu;5107750;149
Salvaterra;1506302;1520
Sambaíba;2109700;27
Sampaio;1718808;127
Sandolândia;1718840;141
Santa Bárbara do Pará;1506351;141
Santa Carmem;5107248;349
Santa Cruz do Arari;1506401;228
Santa Cruz do Xingu;5107743;133
Santa Filomena do Maranhão;2109759;80
Santa Fé do Araguaia;1718865;58
Santa Helena;2109809;3431
Santa Inês;2109908;2082
Santa Isabel do Rio Negro;1303601;27632
Santa Izabel do Pará;1506500;3872
Santa Luzia;2110005;2908
Santa Luzia D'Oeste;1100296;535
Santa Luzia do Paruá;2110039;2553
Santa Luzia do Pará;1506559;1095
Santa Maria das Barreiras;1506583;2669
Santa Maria do Pará;1506609;370
Santa Maria do Tocantins;1718881;80
Santa Rita;2110203;204
Santa Rita do Tocantins;1718899;66
Santa Rita do Trivelato;5107768;136
Santa Rosa do Purus;1200435;154
Santa Rosa do Tocantins;1718907;473
Santa Tereza do Tocantins;1719004;26
Santa Terezinha;5107776;522
Santa Terezinha do Tocantins;1720002;43
Santana;1600600;33238
Santana do Araguaia;1506708;19727
Santarém;1506807;17724
Santarém Novo;1506906;1214
Santo Afonso;5107263;117
Santo Antônio do Içá;1303700;7897
Santo Antônio do Leste;5107792;80
Santo Antônio do Leverger;5107800;80
Santo Antônio do Tauá;1507003;166
Santo Antônio dos Lopes;2110302;369
Sapezal;5107875;373
Sapucaia;1507755;131
Satubinha;2111722;56
Sena Madureira;1200500;2428
Senador Alexandre Costa;2111748;296
